Lemma-id	Grunnform	Funksjon	BOB-koder normerte	Normerte para-koder Nr2000
81674	legg	lemma	subst	790
80388	z	lemma	m	701
81749	nipp	lemma	m1#n1	700 800 810
81765	pass	lemma	subst	890
81780	pomp	lemma	subst	790
82344	dra	lemma	v	354 355 367 368
80448	Å	lemma	m	701
80456	åe	lemma	v1	001 010 011
92961	charmere	lemma		
92875	ca	lemma	adv	695
90828	blikke	lemma	v1	001 010 011
102628	gjelder	lemma	m2	712
96892	farger	lemma	m2	712
95940	erfaringsvis	lemma	a2	518
108347	iberekne	lemma		
108458	idiole-2	lemma	m1	700
104440	hører	lemma	m2	712
106842	hjule	lemma	v1	001 010 011
106010	henregne	lemma	v1	001 010 011
112849	keite	lemma	v1	001 010 011
123164	met	lemma	m1	700
120159	leste	lemma	v1	001 010 011
132534	ransmorgen	lemma	m1	700
129784	penger	lemma	m	780
128874	overlever	lemma	m2	712
140838	snakker	lemma	m2	712
134912	ruteren	lemma	subst	790
135325	søvne	lemma	subst	999
133784	retter	lemma	m2	712
146806	titusenvis	lemma	a1#a2	507 518
145512	tekster	lemma	m2	712
141516	sparen	lemma	subst	790
142110	sprøsteke	lemma	v2	020
156178	stadig	lemma	adv	695
156194	tåre	lemma	v	001 010
156208	ugreie	lemma	v3	030
155849	kick	lemma	n1	800 810
155934	dike	lemma	v#v2	001 010 020
155935	dikt	lemma	a3	513
155964	frøken	lemma	a5	560
156041	kone	lemma	v	001 010
156071	lenge	lemma	v	001 010
156082	lyte	lemma	v2	020
156098	minst	lemma	m1	700
156104	muse	lemma	v2	020
156133	rød	lemma	m1	700
156135	representativ	lemma	n3	800 801 810 811
156159	skute	lemma	v2	020
150591	unnslippe	lemma	v	257 258
156644	intet	lemma	pron	455
156755	laden	lemma	subst	790
159274	snarest	lemma		
159284	Gb	lemma	symb	1004
